University,City,ZIP,Central Campus Zip,Student Population,Enrollment Growth Rate,Off Campus Percentage
Arizona State University ,"Tempe,  AZ",85281,85287,74878,,
University of Central Florida ,"Orlando, FL",32826,32816,68442,,
Texas A&M University ,"College Station, TX",77840,77840,72982,,
Ohio State University ,"Columbus, OH",43201,43210,66444,,
University of Florida ,"Gainesville, FL",32603,32611,60795,,
University of Texas at Austin ,"Austin, TX",78705,78712,51991,,
Michigan State University ,"East Lansing, MI",48823,48824,50344,,
University of South Florida ,"Tampa, FL",33613,33620,49591,,
University of Minnesota ,"Minneapolis, MN",55414,55455,51147,,
University of Illinois Urbana-Champaign ,"Champaign, IL",61801,61820,56403,,
Pennsylvania State University ,University Park,16801,16802,88116,,
Indiana University Bloomington ,"Bloomington, IN",47401,47405,90090,,
University of Wisconsin-Madison ,"Madison, WI",53703,53705,49886,,
"University of California, Los Angeles ","Los Angeles, CA",90024,90095,48048,,
University of Michigan ,"Ann Arbor, MI",48104,48109,51225,,
University of Georgia ,"Athens, GA",30601,30602,41615,,
Purdue University ,"West Lafayette, IN",47906,47907,52211,,
University of North Carolina at Chapel Hill ,"Chapel Hill, NC",27516,27599,32234,,
Florida State University ,"Tallahassee, FL",32304,32304,44597,,
University of Alabama ,"Tuscaloosa, AL",35401,35487,39623,,
University of Kentucky ,"Lexington, KY",40504,40506,31547,,
University of Arizona ,"Tucson, AZ",85719,85721,53187,,
University of South Carolina ,"Columbia, SC",29205,29208,53455,,
University of Missouri ,"Columbia, MO",65203,65211,30667,,
"University of Tennessee, Knoxville ","Knoxville, TN",37916,37996,36304,,
University of Oklahoma,"Norman, OK",73069,73019,32676,,
University of Colorado Boulder ,"Boulder, CO",80302,80309,39585,,
University of Virginia ,"Charlottesville, VA",22903,22903,26082,,
University of Washington ,"Seattle, WA",98105,98105,52319,,
Clemson University ,"Clemson, SC",29631,29634,28466,,
University of Iowa ,"Iowa City, IA",52240,52242,30015,,
"University of Maryland, College Park ","College Park, MD",20740,20742,40792,,
North Carolina State University ,"Raleigh, NC",27606,27606,36700,,
University of Nebraska-Lincoln ,"Lincoln, NE",68508,68588,23805,,
University of Arkansas,"Fayetteville, AR",72701,72701,32140,,
Rutgers University-New Brunswick ,"New Brunswick, NJ",8901,8901,50637,,
University of Mississippi ,"University, MS",38655,38677,22300,,
University of Louisville ,"Louisville, KY",40208,40292,22017,,
Louisiana State University ,"Baton Rouge, LA",70820,70803,37354,,
University of Pittsburgh,"Oakland, PA",15213,15260,33767,,
